,customer_id,full_name,gender,dob,age,is_young_adult,is_senior,birth_country,passport_number,passport_expiry,phone_number,email,marital_status,has_children,number_dependents,Gender,profile,locale,prefix,first_name,last_name,secondary_address,building_number,street_name,street_suffix,city,postcode,state_abbr,address,cc_number,cc_expiry,cc_security_code,company_name,company_suffix,user_agent
0,9acb3a1e-a040-4280-887b-ef33381c7a16,Alexa Chung,Female,1974-10-10,50,No,No,AU,131053534,2029-11-21,2948.0872,jamespeterson@example.com,Yes,Yes,2,,,,,,,,,,,,,,,,,,,,
1,45360147-4c3e-4f3d-8d8d-a6aa8f0bb47f,Mrs. Megan,Female,1981-09-27,43,No,No,AU,379521345,2028-04-11,02-2279-7525,karenhester@example.net,Yes,No,0,,,,,,,,,,,,,,,,,,,,
2,8345bdc5-75fd-41da-8ce5-7828e5a27666,Amy Rose,Female,1989-09-16,35,No,No,PH,794022868,2028-12-13,(02).1955.3942,rrios@example.com,Yes,No,0,,,,,,,,,,,,,,,,,,,,
3,0ec226b1-22e6-4b98-919f-c1c0cd183ea7,Ryan Peterson,Male,2001-02-03,24,Yes,No,AU,M21113240,2027-05-23,03-6513-0081,collinmitchell@example.net,No,No,0,,,,,,,,,,,,,,,,,,,,
4,f588a5e1-7b36-4db2-af9a-2c14e041fccb,Shelby Meyer,Female,1977-02-11,48,No,No,AU,956682468,2029-10-24,+61.491.188.373,tammy90@example.com,No,No,0,,,,,,,,,,,,,,,,,,,,
5,4cf458fd-7705-4b50-abaf-8de7dc0fbf8e,Ashley Berg,Female,1961-04-20,63,No,No,PH,205166319,2027-12-18,(08).9967.6261,erin82@example.org,No,No,0,,,,,,,,,,,,,,,,,,,,
6,ff5364ac-ac7e-4ac5-ab13-214920cc6fad,Larry Moreno,Male,1988-12-19,36,No,No,AU,W14442809,2026-01-09,02-1693-0128,george37@example.org,Yes,No,0,,,,,,,,,,,,,,,,,,,,
7,8b79994b-2263-4d8b-b6e5-b4555c6c8843,Sabrina Gardner,Female,1961-04-16,63,No,No,AU,X41391108,2028-09-18,0474 756 455,mcampbell@example.org,Yes,No,0,,,,,,,,,,,,,,,,,,,,
8,339e478e-e3aa-4115-83a8-9483c23d3f0c,Nathaniel Edwards,Male,1981-03-24,43,No,No,AU,B19857704,2026-11-16,5147-6047,owong@example.com,Yes,Yes,3,,,,,,,,,,,,,,,,,,,,
9,e510d3c8-5f4f-4a77-874d-d51944e92de5,Elizabeth Hill,Female,1967-06-26,57,No,No,AU,844046519,2029-11-17,02-1071-8676,ramirezchristine@example.com,No,No,0,,,,,,,,,,,,,,,,,,,,
10,148079af-8b01-45ce-b5e8-e3b27a1d9a72,Jacob Nunez,Male,2005-06-12,19,Yes,No,AU,U82529085,2027-12-22,0452-805-250,penningtonwilliam@example.org,No,No,0,,,,,,,,,,,,,,,,,,,,
11,d40a595d-3f2b-4f9e-9292-92f713c4bb38,Robert Roach,Male,1986-09-03,38,No,No,AU,K59244473,2025-08-01,+61-490-378-069,amanda31@example.net,No,No,0,,,,,,,,,,,,,,,,,,,,
12,4c85caf6-5c7b-4ebf-a7eb-874242177cd3,Mrs. Tanya,Female,1976-01-28,49,No,No,AU,X67567774,2026-12-16,1498-2308,williamhess@example.net,No,No,0,,,,,,,,,,,,,,,,,,,,
13,96e68544-3916-4ae8-967a-046ddd1109f0,James James,Male,1967-04-17,57,No,No,AU,042457274,2029-03-24,(08).8260.0365,nicholas17@example.org,Yes,Yes,1,,,,,,,,,,,,,,,,,,,,
14,a3247cb1-f9e7-4518-88d4-497e9aa9a452,Thomas Anderson,Male,1965-01-26,60,No,No,PH,692134916,2025-08-16,+61-457-993-273,elizabethlopez@example.com,Yes,No,0,,,,,,,,,,,,,,,,,,,,
15,d74bfe29-15c0-4816-a54a-4e0127a0826e,Dawn Johnson,Female,1963-02-06,62,No,No,AU,919043186,2025-08-02,+61-2-2846-2469,ericallen@example.net,Yes,No,0,,,,,,,,,,,,,,,,,,,,
16,fc6dc9d0-f05f-49f1-ae6a-d7f8fa58dc71,Mandy Ellison,Female,1968-08-08,56,No,No,AU,L92405920,2028-01-09,(08).7765.6500,carlcolon@example.net,No,No,0,,,,,,,,,,,,,,,,,,,,
17,4f5b5960-15e3-488d-9a33-b1fd82cadd5e,Sheila Johnson,Female,1979-04-25,45,No,No,AU,S98037967,2028-06-21,+61.470.450.525,terrellroy@example.org,Yes,Yes,2,,,,,,,,,,,,,,,,,,,,
18,35f53138-df73-4548-bc8a-dea1c8309c02,Angel Farley,Female,1945-11-18,79,No,Yes,AU,B41515692,2025-11-23,+61-425-097-487,pduffy@example.com,No,No,0,Female,"{""locale"": ""en_AU"", ""prefix"": ""Dr."", ""first_name"": ""Angel"", ""last_name"": ""Farley"", ""full_name"": ""Angel Farley"", ""gender"": ""Female"", ""dob"": ""1945-11-18"", ""birth_country"": ""AU"", ""passport_number"": ""B41515692"", ""passport_expiry"": ""2025-11-23"", ""phone_number"": ""+61-425-097-487"", ""email"": ""pduffy@example.com"", ""secondary_address"": ""Level 1 "", ""building_number"": ""57"", ""street_name"": ""Barr Highway"", ""street_suffix"": ""Gap"", ""city"": ""Durhamport"", ""postcode"": "" 2626"", ""state_abbr"": "" VIC"", ""address"": ""Level 1 57 Barr Highway Gap, Durhamport  VIC,  2626"", ""cc_number"": ""4746551385440"", ""cc_expiry"": ""11/34"", ""cc_security_code"": ""295"", ""company_name"": ""Butler Inc"", ""company_suffix"": ""Group"", ""user_agent"": ""Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/11.9a9760.0 Mobile/22B137 Safari/534.1""}",en_AU,Dr.,Angel,Farley,Level 1 ,57,Barr Highway,Gap,Durhamport, 2626, VIC,"Level 1 57 Barr Highway Gap, Durhamport  VIC,  2626",4746551385440,11/34,295,Butler Inc,Group,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/11.9a9760.0 Mobile/22B137 Safari/534.1"
19,f18cc600-e577-437e-9bdf-424bf48fb55e,Darryl King,Male,1953-07-20,71,No,Yes,AU,Q77977657,2025-05-25,03.2261.1991,rogerbass@example.net,Yes,No,0,,,,,,,,,,,,,,,,,,,,
20,7ee54aad-e985-4209-8d3f-c1760520dfb5,Lori Freeman,Female,2002-02-18,23,Yes,No,AU,Q84687090,2028-09-01,+61.2.3476.5815,frenchlisa@example.org,Yes,Yes,3,Female,"{""locale"": ""en_AU"", ""prefix"": ""Mrs."", ""first_name"": ""Lori"", ""last_name"": ""Freeman"", ""full_name"": ""Lori Freeman"", ""gender"": ""Female"", ""dob"": ""2002-02-18"", ""birth_country"": ""AU"", ""passport_number"": ""Q84687090"", ""passport_expiry"": ""2028-09-01"", ""phone_number"": ""+61.2.3476.5815"", ""email"": ""frenchlisa@example.org"", ""secondary_address"": ""Apt. 541 "", ""building_number"": ""42"", ""street_name"": ""Lopez Common"", ""street_suffix"": ""Colonnade"", ""city"": ""Campbellborough"", ""postcode"": "" 2547"", ""state_abbr"": "" VIC"", ""address"": ""Apt. 541 42 Lopez Common Colonnade, Campbellborough  VIC,  2547"", ""cc_number"": ""213128791282074"", ""cc_expiry"": ""04/26"", ""cc_security_code"": ""559"", ""company_name"": ""Graham, Estrada and Ford"", ""company_suffix"": ""Ltd"", ""user_agent"": ""Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.1)""}",en_AU,Mrs.,Lori,Freeman,Apt. 541 ,42,Lopez Common,Colonnade,Campbellborough, 2547, VIC,"Apt. 541 42 Lopez Common Colonnade, Campbellborough  VIC,  2547",213128791282074,04/26,559,"Graham, Estrada and Ford",Ltd,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.1)
21,3c95f996-4415-43a2-be5e-497a9f3b6fb2,Christopher Tate,Male,1942-05-07,82,No,Yes,AU,J87700426,2027-04-15,7530-7887,xphillips@example.org,Yes,Yes,1,Male,"{""locale"": ""en_AU"", ""prefix"": ""Mr."", ""first_name"": ""Christopher"", ""last_name"": ""Tate"", ""full_name"": ""Christopher Tate"", ""gender"": ""Male"", ""dob"": ""1942-05-07"", ""birth_country"": ""AU"", ""passport_number"": ""J87700426"", ""passport_expiry"": ""2027-04-15"", ""phone_number"": ""7530-7887"", ""email"": ""xphillips@example.org"", ""secondary_address"": ""Apt. 376 "", ""building_number"": ""463"", ""street_name"": ""Patterson Row"", ""street_suffix"": ""Lower"", ""city"": ""Aliciaport"", ""postcode"": "" 2687"", ""state_abbr"": "" QLD"", ""address"": ""Apt. 376 463 Patterson Row Lower, Aliciaport  QLD,  2687"", ""cc_number"": ""585139992143"", ""cc_expiry"": ""07/25"", ""cc_security_code"": ""3612"", ""company_name"": ""Collins, White and Cooper"", ""company_suffix"": ""LLC"", ""user_agent"": ""Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.12.7 (KHTML, like Gecko) Version/4.0.5 Safari/533.12.7""}",en_AU,Mr.,Christopher,Tate,Apt. 376 ,463,Patterson Row,Lower,Aliciaport, 2687, QLD,"Apt. 376 463 Patterson Row Lower, Aliciaport  QLD,  2687",585139992143,07/25,3612,"Collins, White and Cooper",LLC,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.12.7 (KHTML, like Gecko) Version/4.0.5 Safari/533.12.7"
22,61fa5195-43a8-4e40-96eb-d6d20bd2d100,Craig Steele,Male,1983-03-22,41,No,No,AU,449443993,2028-06-04,+61.491.024.270,stuartkathryn@example.net,No,No,0,Male,"{""locale"": ""en_AU"", ""prefix"": ""Mr."", ""first_name"": ""Craig"", ""last_name"": ""Steele"", ""full_name"": ""Craig Steele"", ""gender"": ""Male"", ""dob"": ""1983-03-22"", ""birth_country"": ""AU"", ""passport_number"": ""449443993"", ""passport_expiry"": ""2028-06-04"", ""phone_number"": ""+61.491.024.270"", ""email"": ""stuartkathryn@example.net"", ""secondary_address"": ""Suite 910 "", ""building_number"": ""3"", ""street_name"": ""Hoffman Footway"", ""street_suffix"": ""Cross"", ""city"": ""North Patricia"", ""postcode"": "" 2021"", ""state_abbr"": "" TAS"", ""address"": ""Suite 910 3 Hoffman Footway Cross, North Patricia  TAS,  2021"", ""cc_number"": ""4437538021703560"", ""cc_expiry"": ""04/31"", ""cc_security_code"": ""4237"", ""company_name"": ""Miller and Sons"", ""company_suffix"": ""and Sons"", ""user_agent"": ""Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/15.8y6736.0 Mobile/99N321 Safari/536.2""}",en_AU,Mr.,Craig,Steele,Suite 910 ,3,Hoffman Footway,Cross,North Patricia, 2021, TAS,"Suite 910 3 Hoffman Footway Cross, North Patricia  TAS,  2021",4437538021703560,04/31,4237,Miller and Sons,and Sons,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/15.8y6736.0 Mobile/99N321 Safari/536.2"
23,634ac2e9-22e7-4301-8b81-c9ead009cabe,Paul Jackson,Male,1996-11-15,28,Yes,No,AU,846281968,2027-03-28,0406.439.247,lindsay79@example.net,No,No,0,,,,,,,,,,,,,,,,,,,,
24,9e058fe9-a0b1-4b31-957b-93099658777b,Kavya Chander,Female,1996-06-04,28,Yes,No,IN,354374371,2025-03-28,(03)-0832-9841,xdavila@example.org,Yes,Yes,3,,,,,,,,,,,,,,,,,,,,
