,customer_id,street,type,suburb,postcode,full_address
0,d36b3782-86b2-4f7e-97f4-19751cf735b1,Chandler Gardens,Park,Smithchester,6683,"Suite 159 4 Chandler Gardens Park, Smithchester  ACT,  6683"
1,c16a23a6-c001-4846-b16a-e681692d861b,Tara Alleyway,Avenue,Mayberg,2629,"Flat 31 247 Tara Alleyway Avenue, Mayberg  QLD,  2629"
2,f044a91f-3eeb-4342-9c96-2be28927a8a9,Sullivan Reserve,Reach,Vegamouth,2790,"Level 5 591 Sullivan Reserve Reach, Vegamouth  QLD,  2790"
3,36096d1a-4f30-4c1c-8453-3db3ea81692c,Daniel Parade,Break,East Matthewfurt,,"Unit 09 7 Daniel Parade Break, East Matthewfurt  NSW,  2839"
4,7484593e-4ff2-44d6-9de6-7e3bd9fe8b19,Charles Driveway,River,New Shannon,2611,"720/460 Charles Driveway River, New Shannon  WA,  2611"
5,036596c9-a3f9-44a0-b6f6-0476913abdfb,Kevin Glade,Quad,Mataport,,"Suite 531 8 Kevin Glade Quad, Mataport  SA,  0950"
6,4e4a8490-32c1-4377-9dcb-b561a968b739,Jeffrey Lane,Hill,Sweeneyland,2610,"971/11 Jeffrey Lane Hill, Sweeneyland  NSW,  2610"
7,d7a506a8-dfd1-4314-b8d9-c6356f79c341,Aaron Service Way,Grange,New Renee,,
8,446ca104-bf67-4238-a1d7-449833330dec,Nathaniel Quad,Right Of Way,Youngton,,"Apt. 324 623 Nathaniel Quad Right Of Way, Youngton  NSW,  2913"
9,52521585-41e8-4853-9ae1-e235204607f7,Joseph Junction,Walkway,Pattersonmouth,7966,"Apt. 919 272 Joseph Junction Walkway, Pattersonmouth  VIC,  7966"
10,7a4f0bf6-6870-4a49-a6c9-90bb32a18a93,Mccormick Crossroad,Crossing,Ruizfurt,2049,"013/3 Mccormick Crossroad Crossing, Ruizfurt  QLD,  2049"
11,b7c31875-10fa-4eea-8ba3-76092eaf2463,Rodriguez Tollway,Plaza,Davishaven,,"Suite 919 0 Rodriguez Tollway Plaza, Davishaven  ACT,  2920"
12,a5a77ee9-b39a-4e50-bf9b-31393cdc44bd,Cooper Rotary,Foreshore,Browningtown,2911,"Level 1 3 Cooper Rotary Foreshore, Browningtown  VIC,  2911"
13,bd0056ae-82c4-4fdb-9dd3-9cbf4d04a1a5,Jacob Piazza,Grove,New Stephentown,,"187/853 Jacob Piazza Grove, New Stephentown  TAS,  6642"
14,5c6b8cc0-22a6-44e5-b1f6-903f73094bad,Gilmore Viaduct,Garden,Stephenschester,,
15,34f5aaf6-ec8f-41df-a5c3-cc3b3a6666d5,Payne Causeway,Part,Brendaburgh,2668,"Unit 41 3 Payne Causeway Part, Brendaburgh  TAS,  2668"
16,255203f4-7f17-4112-9bea-48f1447d246f,Michael Mount,Formation,Michellefort,3823,"451/377 Michael Mount Formation, Michellefort  TAS,  3823"
17,33fe9371-7aa6-4519-9ab8-b08805297cd4,Andrew Bridge,Ridge,Blackmouth,2619,"Suite 995 699 Andrew Bridge Ridge, Blackmouth  VIC,  2619"
18,da7eb3e6-185d-4093-9471-c5d07aae2eaa,Camacho Rest,Reach,East Nathantown,2624,"65/731 Camacho Rest Reach, East Nathantown  WA,  2624"
19,0a280785-3752-4a36-b727-530602192a53,Ingram Highroad,Spur,St. Vanessamouth,,"698/925 Ingram Highroad Spur, St. Vanessamouth  NT,  1941"
20,962ecc3b-f0f3-434c-8c1e-7d7083a042d4,Sandra Place,Reach,Nicolemouth,9661,"Apt. 473 7 Sandra Place Reach, Nicolemouth  NSW,  9661"
21,20c35493-16cd-4589-ab87-b2dc74f397ca,Shannon Rue,Outlook,South Jamesview, 2935,"6/97 Shannon Rue Outlook, South Jamesview  SA,  2935"
22,bea639bc-4966-4770-8944-29d967d76480,Murray Thoroughfare,Underpass,New Jon,2088,"Unit 53 947 Murray Thoroughfare Underpass, New Jon  TAS,  2088"
23,b00712cb-2714-4cb9-832d-91d31317f4aa,Lawrence Steps,Mount,West Matthew,,
24,e1513cd6-1b28-4311-8117-96b8f8266405,Christine Plaza,Ridgeway,St. Charlesfort,5906,"Level 9 673 Christine Plaza Ridgeway, St. Charlesfort  NT,  5906"
25,6ea88f9c-1068-437b-8c23-5e49ad83089c,Bowen Quad,Causeway,New Brianstad,9857,
26,be2f780c-286f-4824-991b-4e3219596044,Jenny Quad,Close,New Katrina,2924,"Suite 121 476 Jenny Quad Close, New Katrina  WA,  2924"
27,c55d5d08-678f-422a-8d11-41a5d4095433,Spencer Riverway,Freeway,,,"Flat 53 5 Spencer Riverway Freeway, Lewisport  ACT,  2972"
28,e5d6c074-bc7b-4f78-820d-60c119c4ade3,Bradley Link,Brace,New Scottville,2640,
29,d0570604-848c-4e5b-8948-28481555308b,Scott Lower,Estate,South Brent,2634,
30,a5015049-d55a-4df0-8902-b20d40bc7ae0,Rodney Right Of Way,Flat,,,"040/45 Rodney Right Of Way Flat, Jefferymouth  TAS,  2692"
31,4728e488-191a-4c91-8f8a-db8970e235ca,Patrick Beach,Way,Port Marymouth,,"Flat 86 9 Patrick Beach Way, Port Marymouth  NSW,  2917"
32,8bd53398-df54-465c-9581-a932a9c965b1,John Tollway,Thoroughfare,Alfredville,,"Apt. 974 695 John Tollway Thoroughfare, Alfredville  WA,  2686"
33,ed157c5c-8d24-4392-9b07-5608a2f1480e,Harrison Siding,Mews,,2919,"Suite 068 62 Harrison Siding Mews, North Paulville  NSW,  2919"
34,ca2084ac-ea56-492b-8ce1-aa4dc49e9152,William Courtyard,Firetrail,West Jackson,2685,"5/077 William Courtyard Firetrail, West Jackson  VIC,  2685"
35,aa3a3a4e-6114-4548-bdb0-5c6f67c5e79f,John Vale,Park,West Monica,,
36,14bad43b-cbfa-40a1-8209-93489d2a8973,Vincent Green,Pocket,Nelsonberg,2998,"293/98 Vincent Green Pocket, Nelsonberg  ACT,  2998"
37,a69f5fb6-4ec3-427b-889c-ed9f440d9374,Tracey Subway,Bend,Rickyport,2934,"Apt. 986 8 Tracey Subway Bend, Rickyport  TAS,  2934"
38,fb60ec77-b356-4e27-982e-6ca7c61063f3,Chambers Lower,Service Way,,2985,"Apt. 365 37 Chambers Lower Service Way, Browntown  NSW,  2985"
39,4bd5c0c0-3f76-4db4-8076-260c361fbd65,Kirsten End,Sound,Ashleytown,,"Apt. 971 823 Kirsten End Sound, Ashleytown  ACT,  2939"
40,fb9431f3-b96b-41f2-8b7b-758c9d80f2dd,Andrea Reserve,Distributor,Vaughnland,2682,"Level 6 07 Andrea Reserve Distributor, Vaughnland  NT,  2682"
41,3eca00f6-3e84-4f2e-acb6-3c824fda6664,Reyes Chase,Walkway,Laurafurt,2978,"Suite 732 2 Reyes Chase Walkway, Laurafurt  NT,  2978"
42,71738c9d-ae1d-4f95-be1e-b9e1f95489d7,Hansen Outlook,Centre,South Randall,,"Level 8 34 Hansen Outlook Centre, South Randall  NSW,  2947"
43,784da6fb-ecc1-42a5-8930-11043fd4bbd5,Douglas Reserve,Street,Donnaland,2794,
44,c3fe806e-1024-477e-82fd-e0b73459edf1,Jason Walkway,Lane,,,"Flat 83 8 Jason Walkway Lane, New William  SA,  2906"
45,b4fd3607-0167-46c0-912b-21f1caf6aafb,Grant Point,Link,Deborahberg,,
46,ade01115-971e-419c-b890-e95fec1883e8,Robert Parklands,Glade,Lake Marcusville,,"Flat 13 1 Robert Parklands Glade, Lake Marcusville  WA,  2684"
47,12a21b24-3d88-4ee9-bfdf-fe7bd1ac4f69,Mark Wynd,Garden,East Josephchester, 2920,"Apt. 150 64 Mark Wynd Garden, East Josephchester  TAS,  2920"
48,7840d3c8-b439-478a-b90c-9b1786bd9d64,Brian Turn,Right Of Way,North Henry,5274,"Level 8 46 Brian Turn Right Of Way, North Henry  NSW,  5274"
